country_code,year,medal_value
FRG,1972,199
FRG,1976,141
FRG,1984,293
FRG,1988,214
GBR,1896,14
GBR,1900,194
GBR,1904,5
GBR,1908,770
GBR,1912,306
GBR,1920,252
GBR,1924,129
GBR,1928,92
GBR,1932,62
GBR,1936,76
GBR,1948,107
GBR,1952,39
GBR,1956,76
GBR,1960,43
GBR,1964,55
GBR,1968,39
GBR,1972,54
GBR,1976,59
GBR,1980,73
GBR,1984,110
GBR,1988,113
GBR,1992,69
GBR,1996,45
GBR,2000,119
GBR,2004,116
GBR,2008,164
GDR,1968,96
GDR,1972,270
GDR,1976,441
GDR,1980,571
GDR,1988,376
GEO,1996,2
GEO,2000,6
GEO,2004,10
GEO,2008,12
GER,1896,90
GER,1900,81
GER,1904,25
GER,1908,41
GER,1912,91
GER,1928,125
GER,1932,78
GER,1936,449
GER,1952,54
GER,1992,417
GER,1996,243
GER,2000,204
GER,2004,276
GER,2008,201
GHA,1960,2
GHA,1964,1
GHA,1972,1
GHA,1992,13
GRE,1896,92
GRE,1904,4
GRE,1908,6
GRE,1912,4
GRE,1920,10
GRE,1956,1
GRE,1960,9
GRE,1968,1
GRE,1972,4
GRE,1980,7
GRE,1984,3
GRE,1988,1
GRE,1992,6
GRE,1996,20
GRE,2000,32
GRE,2004,65
GRE,2008,10
GUY,1980,1
HAI,1924,7
HAI,1928,2
HKG,1996,3
HKG,2004,4
HUN,1896,11
HUN,1900,9
HUN,1904,9
HUN,1908,37
HUN,1912,67
HUN,1924,34
HUN,1928,49
HUN,1932,76
HUN,1936,93
HUN,1948,114
HUN,1952,222
HUN,1956,144
HUN,1960,107
HUN,1964,147
HUN,1968,165
HUN,1972,147
HUN,1976,89
HUN,1980,90
HUN,1988,93
HUN,1992,96
HUN,1996,68
HUN,2000,127
HUN,2004,100
HUN,2008,67
INA,1988,6
INA,1992,13
INA,1996,11
INA,2000,16
INA,2004,8
INA,2008,13
IND,1900,4
IND,1928,45
IND,1932,33
IND,1936,57
IND,1948,60
IND,1952,43
IND,1956,51
IND,1960,26
IND,1964,45
IND,1968,15
IND,1972,14
IND,1980,48
IND,1996,1
IND,2000,1
IND,2004,2
IND,2008,5
IOP,1992,4
IRI,1948,1
IRI,1952,10
IRI,1956,11
IRI,1960,5
IRI,1964,2
IRI,1968,10
IRI,1972,5
IRI,1976,3
IRI,1988,2
IRI,1992,4
IRI,1996,6
IRI,2000,10
IRI,2004,12
IRI,2008,4
IRL,1928,3
IRL,1932,6
IRL,1952,2
IRL,1956,8
IRL,1964,1
IRL,1980,5
IRL,1984,2
IRL,1992,5
IRL,1996,10
IRL,2000,2
IRL,2008,4
IRQ,1960,1
ISL,1956,2
ISL,1984,1
ISL,2000,1
ISL,2008,28
ISR,1992,3
ISR,1996,1
ISR,2000,1
ISR,2004,4
ISR,2008,1
ISV,1988,2
ITA,1900,10
ITA,1908,16
ITA,1912,58
ITA,1920,229
ITA,1924,106
ITA,1928,127
ITA,1932,157
ITA,1936,173
ITA,1948,134
ITA,1952,108
ITA,1956,107
ITA,1960,178
ITA,1964,104
ITA,1968,50
ITA,1972,46
ITA,1976,60
ITA,1980,74
ITA,1984,127
ITA,1988,61
ITA,1992,100
ITA,1996,133
ITA,2000,123
ITA,2004,189
ITA,2008,72
JAM,1948,7
JAM,1952,21
JAM,1968,2
JAM,1972,1
JAM,1976,5
JAM,1980,3
JAM,1984,10
JAM,1988,10
JAM,1992,7
JAM,1996,21
JAM,2000,37
JAM,2004,26
JAM,2008,38
JPN,1920,6
JPN,1924,1
JPN,1928,17
JPN,1932,68
JPN,1936,43
JPN,1952,23
JPN,1956,47
JPN,1960,57
JPN,1964,133
JPN,1968,128
JPN,1972,133
JPN,1976,97
JPN,1984,77
JPN,1988,31
JPN,1992,61
JPN,1996,75
JPN,2000,83
JPN,2004,156
JPN,2008,108
KAZ,1996,21
KAZ,2000,17
KAZ,2004,14
KAZ,2008,21
KEN,1964,1
KEN,1968,25
KEN,1972,25
KEN,1984,5
KEN,1988,21
KEN,1992,16
KEN,1996,14
KEN,2000,14
KEN,2004,13
KEN,2008,30
KGZ,2000,1
KGZ,2008,3
KOR,1948,2
KOR,1952,2
KOR,1956,3
KOR,1964,5
KOR,1968,3
KOR,1972,2
KOR,1976,20
KOR,1984,83
KOR,1988,170
KOR,1992,110
KOR,1996,135
KOR,2000,123
KOR,2004,108
KOR,2008,171
KSA,2000,3
KUW,2000,1
LAT,1932,2
LAT,1936,3
