country_code,1896,1900,1904,1908,1912,1920,1924,1928,1932,1936,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008
ETH,..,..,..,..,..,..,..,..,..,..,..,..,..,3.0,3.0,5.0,2.0,..,8.0,..,..,5.0,7.0,17.0,14.0,16.0
EUA,..,..,..,..,..,..,..,..,..,..,..,..,104.0,189.0,203.0,..,..,..,..,..,..,..,..,..,..,..
EUN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,472.0,..,..,..,..
FIN,..,..,..,32.0,121.0,99.0,113.0,49.0,47.0,46.0,66.0,59.0,33.0,9.0,11.0,8.0,17.0,16.0,16.0,22.0,7.0,13.0,8.0,12.0,4.0,9.0
FRA,25.0,363.0,..,58.0,55.0,240.0,263.0,66.0,91.0,80.0,140.0,76.0,57.0,17.0,46.0,56.0,31.0,37.0,70.0,126.0,57.0,80.0,103.0,140.0,105.0,149.0
FRG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,96.0,199.0,141.0,..,293.0,214.0,..,..,..,..,..
GBR,14.0,194.0,5.0,770.0,306.0,252.0,129.0,92.0,62.0,76.0,107.0,39.0,76.0,43.0,55.0,39.0,54.0,59.0,73.0,110.0,113.0,69.0,45.0,119.0,116.0,164.0
GDR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,96.0,270.0,441.0,571.0,..,376.0,..,..,..,..,..
GEO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.0,6.0,10.0,12.0
GER,90.0,81.0,25.0,41.0,91.0,..,..,125.0,78.0,449.0,..,54.0,..,..,..,..,..,..,..,..,..,417.0,243.0,204.0,276.0,201.0
GHA,..,..,..,..,..,..,..,..,..,..,..,..,..,2.0,1.0,..,1.0,..,..,..,..,13.0,..,..,..,..
GRE,92.0,..,4.0,6.0,4.0,10.0,..,..,..,..,..,..,1.0,9.0,..,1.0,4.0,..,7.0,3.0,1.0,6.0,20.0,32.0,65.0,10.0
GUY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.0,..,..,..,..,..,..,..
HAI,..,..,..,..,..,..,7.0,2.0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
HKG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.0,..,4.0,..
HUN,11.0,9.0,9.0,37.0,67.0,..,34.0,49.0,76.0,93.0,114.0,222.0,144.0,107.0,147.0,165.0,147.0,89.0,90.0,..,93.0,96.0,68.0,127.0,100.0,67.0
INA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.0,13.0,11.0,16.0,8.0,13.0
IND,..,4.0,..,..,..,..,..,45.0,33.0,57.0,60.0,43.0,51.0,26.0,45.0,15.0,14.0,..,48.0,..,..,..,1.0,1.0,2.0,5.0
IOP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.0,..,..,..,..
IRI,..,..,..,..,..,..,..,..,..,..,1.0,10.0,11.0,5.0,2.0,10.0,5.0,3.0,..,..,2.0,4.0,6.0,10.0,12.0,4.0
IRL,..,..,..,..,..,..,..,3.0,6.0,..,..,2.0,8.0,..,1.0,..,..,..,5.0,2.0,..,5.0,10.0,2.0,..,4.0
IRQ,..,..,..,..,..,..,..,..,..,..,..,..,..,1.0,..,..,..,..,..,..,..,..,..,..,..,..
ISL,..,..,..,..,..,..,..,..,..,..,..,..,2.0,..,..,..,..,..,..,1.0,..,..,..,1.0,..,28.0
ISR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.0,1.0,1.0,4.0,1.0
ISV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.0,..,..,..,..,..
