,year,sport,discipline,athlete,country_code,gender,event,medal,medal_value
21191,1992,Volleyball,Volleyball,"CARVAJAL, Magaly Esther",CUB,Women,volleyball,Gold,3
21190,1992,Volleyball,Volleyball,"CALDERON MARTINEZ, Mercedes",CUB,Women,volleyball,Gold,3
21189,1992,Volleyball,Volleyball,"BELL, Regla Maritza",CUB,Women,volleyball,Gold,3
21188,1992,Volleyball,Volleyball,"ZETTERLUND, Yoko Karin",USA,Women,volleyball,Bronze,1
21187,1992,Volleyball,Volleyball,"WILLIAMS, Tonya",USA,Women,volleyball,Bronze,1
21186,1992,Volleyball,Volleyball,"WEISHOFF, Paula Jo",USA,Women,volleyball,Bronze,1
21185,1992,Volleyball,Volleyball,"SATO, Liane Lissa",USA,Women,volleyball,Bronze,1
21184,1992,Volleyball,Volleyball,"ODEN, Kimberly Yvette",USA,Women,volleyball,Bronze,1
21183,1992,Volleyball,Volleyball,"ODEN, Elaina Joyce",USA,Women,volleyball,Bronze,1
21182,1992,Volleyball,Volleyball,"LILEY, Tammy",USA,Women,volleyball,Bronze,1
21181,1992,Volleyball,Volleyball,"LAWANSON, Ruth Modupe",USA,Women,volleyball,Bronze,1
21180,1992,Volleyball,Volleyball,"KEMNER, Caren Marie Alexis",USA,Women,volleyball,Bronze,1
21179,1992,Volleyball,Volleyball,"ENDICOTT, Lori Ann",USA,Women,volleyball,Bronze,1
21178,1992,Volleyball,Volleyball,"CROSS-BATTLE, Tara",USA,Women,volleyball,Bronze,1
21177,1992,Volleyball,Volleyball,"COBBS, Janet Marie",USA,Women,volleyball,Bronze,1
21176,1992,Volleyball,Volleyball,"ZWERVER, Ronald",NED,Men,volleyball,Silver,2
21175,1992,Volleyball,Volleyball,"ZOODSMA, Ronald",NED,Men,volleyball,Silver,2
21174,1992,Volleyball,Volleyball,"VAN DER MEULEN, Olof",NED,Men,volleyball,Silver,2
21173,1992,Volleyball,Volleyball,"VAN DER HORST, Martin",NED,Men,volleyball,Silver,2
21172,1992,Volleyball,Volleyball,"TEFFER, Martin",NED,Men,volleyball,Silver,2
21145,1992,Volleyball,Volleyball,"GREENBAUM, Daniel Robert",USA,Men,volleyball,Bronze,1
21144,1992,Volleyball,Volleyball,"FORTUNE, Scott Thomas",USA,Men,volleyball,Bronze,1
21143,1992,Volleyball,Volleyball,"CTVRTLIK, Robert Jan",USA,Men,volleyball,Bronze,1
21142,1992,Volleyball,Volleyball,"BRICENO, Carlos Martin",USA,Men,volleyball,Bronze,1
21114,1992,Table Tennis,Table Tennis,"LI, Bun Hui",PRK,Women,singles,Bronze,1
21113,1992,Table Tennis,Table Tennis,"HYUN, Jung Hwa",KOR,Women,singles,Bronze,1
21112,1992,Table Tennis,Table Tennis,"GATIEN, Jean-Philippe",FRA,Men,singles,Silver,2
21111,1992,Table Tennis,Table Tennis,"WALDNER, Jan-Ove",SWE,Men,singles,Gold,3
21110,1992,Table Tennis,Table Tennis,"MA, Wenge",CHN,Men,singles,Bronze,1
21109,1992,Table Tennis,Table Tennis,"KIM, Taek Soo",KOR,Men,singles,Bronze,1
21108,1992,Table Tennis,Table Tennis,"GAO, Jun",CHN,Women,doubles,Silver,2
21107,1992,Table Tennis,Table Tennis,"CHEN, Zihe",CHN,Women,doubles,Silver,2
21106,1992,Table Tennis,Table Tennis,"QIAO, Hong",CHN,Women,doubles,Gold,3
21105,1992,Table Tennis,Table Tennis,"DENG, Yaping",CHN,Women,doubles,Gold,3
21104,1992,Table Tennis,Table Tennis,"YU, Sun Bok",PRK,Women,doubles,Bronze,1
21103,1992,Table Tennis,Table Tennis,"LI, Bun Hui",PRK,Women,doubles,Bronze,1
21102,1992,Table Tennis,Table Tennis,"HYUN, Jung Hwa",KOR,Women,doubles,Bronze,1
21101,1992,Table Tennis,Table Tennis,"HONG, Cha Ok",KOR,Women,doubles,Bronze,1
21100,1992,Table Tennis,Table Tennis,"ROSSKOPF, JÃ¶rg",GER,Men,doubles,Silver,2
21099,1992,Table Tennis,Table Tennis,"FETZNER, Steffen",GER,Men,doubles,Silver,2
21098,1992,Table Tennis,Table Tennis,"WANG, Tao",CHN,Men,doubles,Gold,3
21097,1992,Table Tennis,Table Tennis,"LU, Lin",CHN,Men,doubles,Gold,3
21096,1992,Table Tennis,Table Tennis,"YOO, Nam-Kyu",KOR,Men,doubles,Bronze,1
21095,1992,Table Tennis,Table Tennis,"LEE, Chul Seung",KOR,Men,doubles,Bronze,1
21094,1992,Table Tennis,Table Tennis,"KIM, Taek Soo",KOR,Men,doubles,Bronze,1
21093,1992,Table Tennis,Table Tennis,"KANG, Hee Chan",KOR,Men,doubles,Bronze,1
21092,1992,Shooting,Shooting,"WATANABE, Kazumi",JPN,Men,trap (125 targets),Silver,2
21115,1992,Table Tennis,Table Tennis,"DENG, Yaping",CHN,Women,singles,Gold,3
21195,1992,Volleyball,Volleyball,"IZQUIERDO, Lilia",CUB,Women,volleyball,Gold,3
21116,1992,Table Tennis,Table Tennis,"QIAO, Hong",CHN,Women,singles,Silver,2
21118,1992,Tennis,Tennis,"IVANISEVIC, Goran",CRO,Men,doubles,Bronze,1
21141,1992,Volleyball,Volleyball,"BECKER, Nick Adrian",USA,Men,volleyball,Bronze,1
21140,1992,Tennis,Tennis,"GRAF, Steffi",GER,Women,singles,Silver,2
21139,1992,Tennis,Tennis,"CAPRIATI, Jennifer",USA,Women,singles,Gold,3
21138,1992,Tennis,Tennis,"SANCHEZ-VICARIO, Arantxa",ESP,Women,singles,Bronze,1
21137,1992,Tennis,Tennis,"FERNANDEZ, Mary Joe",USA,Women,singles,Bronze,1
21136,1992,Tennis,Tennis,"ARRESE, Jordi",ESP,Men,singles,Silver,2
21135,1992,Tennis,Tennis,"ROSSET, Marc",SUI,Men,singles,Gold,3
21134,1992,Tennis,Tennis,"IVANISEVIC, Goran",CRO,Men,singles,Bronze,1
21133,1992,Tennis,Tennis,"CHERKASOV, Andrei",EUN,Men,singles,Bronze,1
21132,1992,Tennis,Tennis,"SANCHEZ-VICARIO, Arantxa",ESP,Women,doubles,Silver,2
21131,1992,Tennis,Tennis,"MARTINEZ, Conchita",ESP,Women,doubles,Silver,2
21130,1992,Tennis,Tennis,"FERNANDEZ, Mary Joe",USA,Women,doubles,Gold,3
21129,1992,Tennis,Tennis,"FERNANDEZ, Gigi",USA,Women,doubles,Gold,3
21128,1992,Tennis,Tennis,"ZVEREVA, Natalya",EUN,Women,doubles,Bronze,1
21127,1992,Tennis,Tennis,"MESKHI, Leila",EUN,Women,doubles,Bronze,1
21126,1992,Tennis,Tennis,"MCQUILLAN, Rachel Jane",AUS,Women,doubles,Bronze,1
21125,1992,Tennis,Tennis,"BRADTKE, Nicole Anne Louise",AUS,Women,doubles,Bronze,1
21124,1992,Tennis,Tennis,"NORVAL, Piet",RSA,Men,doubles,Silver,2
21123,1992,Tennis,Tennis,"FERREIRA, Wayne",RSA,Men,doubles,Silver,2
21122,1992,Tennis,Tennis,"STICH, Michael",GER,Men,doubles,Gold,3
21121,1992,Tennis,Tennis,"BECKER, Boris Franz",GER,Men,doubles,Gold,3
21120,1992,Tennis,Tennis,"PRPIC, Goran",CRO,Men,doubles,Bronze,1
21119,1992,Tennis,Tennis,"MINIUSSI, Christian Carlos",ARG,Men,doubles,Bronze,1
21117,1992,Tennis,Tennis,"FRANA, Javier",ARG,Men,doubles,Bronze,1
21091,1992,Shooting,Shooting,"HRDLICKA, Petr",TCH,Men,trap (125 targets),Gold,3
21196,1992,Volleyball,Volleyball,"LATAMBLET DAUDINOT, Norka",CUB,Women,volleyball,Gold,3
21198,1992,Volleyball,Volleyball,"O'FARRILL, Raisa",CUB,Women,volleyball,Gold,3
21274,1992,Wrestling,Wrestling Gre-R,"MAENZA, Vincenzo",ITA,Men,- 48kg (light-flyweight),Silver,2
21273,1992,Wrestling,Wrestling Gre-R,"KOUTCHERENKO, Oleg",EUN,Men,- 48kg (light-flyweight),Gold,3
21272,1992,Wrestling,Wrestling Gre-R,"SANCHEZ AMITA, Wilber",CUB,Men,- 48kg (light-flyweight),Bronze,1
21271,1992,Wrestling,Wrestling Free.,"BALZ, Heiko",GER,Men,90 - 100kg (heavyweight),Silver,2
21270,1992,Wrestling,Wrestling Free.,"KHABELOV, Leri",EUN,Men,90 - 100kg (heavyweight),Gold,3
21269,1992,Wrestling,Wrestling Free.,"KAYALI, Ali",TUR,Men,90 - 100kg (heavyweight),Bronze,1
21268,1992,Wrestling,Wrestling Free.,"SIMSEK, Kenan",TUR,Men,82 - 90kg (light-heavyweight),Silver,2
21267,1992,Wrestling,Wrestling Free.,"KHADARTSEV, Makharbek",EUN,Men,82 - 90kg (light-heavyweight),Gold,3
21266,1992,Wrestling,Wrestling Free.,"CAMPBELL, Christopher",USA,Men,82 - 90kg (light-heavyweight),Bronze,1
21265,1992,Wrestling,Wrestling Free.,"JABRAILOV, Elmadi",EUN,Men,74 - 82kg (middleweight),Silver,2
21275,1992,Wrestling,Wrestling Gre-R,"GRIGORAS, Ioan",ROU,Men,100 - 130kg (super heavyweight),Bronze,1
21264,1992,Wrestling,Wrestling Free.,"JACKSON, Kevin",USA,Men,74 - 82kg (middleweight),Gold,3
21262,1992,Wrestling,Wrestling Free.,"MONDAY, Kenneth",USA,Men,68 - 74kg (welterweight),Silver,2
20450,1992,Fencing,Fencing,"DUMITRESCU, Roxana Daniela",ROU,Women,foil team,Bronze,1
21260,1992,Wrestling,Wrestling Free.,"KHADEM AZGHADI, Amir Reza",IRI,Men,68 - 74kg (welterweight),Bronze,1
21259,1992,Wrestling,Wrestling Free.,"GETZOV, Valentin Dotchev",BUL,Men,62 - 68kg (lightweight),Silver,2
21258,1992,Wrestling,Wrestling Free.,"FADZAEV, Arsen",EUN,Men,62 - 68kg (lightweight),Gold,3
21257,1992,Wrestling,Wrestling Free.,"AKAISHI, Kosei",JPN,Men,62 - 68kg (lightweight),Bronze,1
21256,1992,Wrestling,Wrestling Free.,"MOHAMMADIAN, Asgari",IRI,Men,57 - 62kg (featherweight),Silver,2
21255,1992,Wrestling,Wrestling Free.,"SMITH, John",USA,Men,57 - 62kg (featherweight),Gold,3
21254,1992,Wrestling,Wrestling Free.,"REINOSO MARTINEZ, Lazaro",CUB,Men,57 - 62kg (featherweight),Bronze,1
21253,1992,Wrestling,Wrestling Free.,"SMAL, Serguei",EUN,Men,52 - 57kg (bantamweight),Silver,2
21263,1992,Wrestling,Wrestling Free.,"KHADEM AZGHADI, Rasul",IRI,Men,74 - 82kg (middleweight),Bronze,1
21276,1992,Wrestling,Wrestling Gre-R,"KARELIN, Aleksandr",EUN,Men,100 - 130kg (super heavyweight),Gold,3
21277,1992,Wrestling,Wrestling Gre-R,"JOHANSSON, Tomas",SWE,Men,100 - 130kg (super heavyweight),Silver,2
21278,1992,Wrestling,Wrestling Gre-R,"MIN, Kyung-Kap",KOR,Men,48 - 52kg (flyweight),Bronze,1
21301,1992,Wrestling,Wrestling Gre-R,"KOSLOWSKI, Dennis Marvin",USA,Men,90 - 100kg (heavyweight),Silver,2
21300,1992,Wrestling,Wrestling Gre-R,"MILIAN PEREZ, Hector",CUB,Men,90 - 100kg (heavyweight),Gold,3
21299,1992,Wrestling,Wrestling Gre-R,"DEMIACHKIEVITCH, Serguei",EUN,Men,90 - 100kg (heavyweight),Bronze,1
21298,1992,Wrestling,Wrestling Gre-R,"BASAR, Hakki",TUR,Men,82 - 90kg (light-heavyweight),Silver,2
21297,1992,Wrestling,Wrestling Gre-R,"BULLMANN, Maik",GER,Men,82 - 90kg (light-heavyweight),Gold,3
21296,1992,Wrestling,Wrestling Gre-R,"KOGOUACHVILI, Gogui",EUN,Men,82 - 90kg (light-heavyweight),Bronze,1
21295,1992,Wrestling,Wrestling Gre-R,"STEPIEN, Piotr",POL,Men,74 - 82kg (middleweight),Silver,2
21294,1992,Wrestling,Wrestling Gre-R,"FARKAS, Peter",HUN,Men,74 - 82kg (middleweight),Gold,3
21293,1992,Wrestling,Wrestling Gre-R,"TOURLYKHANOV, Daoulet",EUN,Men,74 - 82kg (middleweight),Bronze,1
21292,1992,Wrestling,Wrestling Gre-R,"TRACZ, Jozef",POL,Men,68 - 74kg (welterweight),Silver,2
21291,1992,Wrestling,Wrestling Gre-R,"ISKANDARIAN, Mnatsakan",EUN,Men,68 - 74kg (welterweight),Gold,3
21290,1992,Wrestling,Wrestling Gre-R,"KORNBAKK, Torbjoern",SWE,Men,68 - 74kg (welterweight),Bronze,1
21289,1992,Wrestling,Wrestling Gre-R,"DOUGOUTCHIEV, Islam",EUN,Men,62 - 68kg (lightweight),Silver,2
21288,1992,Wrestling,Wrestling Gre-R,"REPKA, Attila",HUN,Men,62 - 68kg (lightweight),Gold,3
21287,1992,Wrestling,Wrestling Gre-R,"SMITH, Rodney",USA,Men,62 - 68kg (lightweight),Bronze,1
21286,1992,Wrestling,Wrestling Gre-R,"MARTYNOV, Serguei",EUN,Men,57 - 62kg (featherweight),Silver,2
21285,1992,Wrestling,Wrestling Gre-R,"PIRIM, Akif",TUR,Men,57 - 62kg (featherweight),Gold,3
21284,1992,Wrestling,Wrestling Gre-R,"MAREN, Juan Luis",CUB,Men,57 - 62kg (featherweight),Bronze,1
21283,1992,Wrestling,Wrestling Gre-R,"YILDIZ, Rifat",GER,Men,52 - 57kg (bantamweight),Silver,2
21282,1992,Wrestling,Wrestling Gre-R,"AN, Han-Bong",KOR,Men,52 - 57kg (bantamweight),Gold,3
21281,1992,Wrestling,Wrestling Gre-R,"SHENG, Zetian",CHN,Men,52 - 57kg (bantamweight),Bronze,1
21280,1992,Wrestling,Wrestling Gre-R,"TER-MKRTCHYAN, Alfred",EUN,Men,48 - 52kg (flyweight),Silver,2
21279,1992,Wrestling,Wrestling Gre-R,"RÃNNINGEN, Jon",NOR,Men,48 - 52kg (flyweight),Gold,3
21252,1992,Wrestling,Wrestling Free.,"PUERTO DIAZ, Alejandro",CUB,Men,52 - 57kg (bantamweight),Gold,3
21251,1992,Wrestling,Wrestling Free.,"KIM, Yong Sik",PRK,Men,52 - 57kg (bantamweight),Bronze,1
21250,1992,Wrestling,Wrestling Free.,"JONES, Larry Lee",USA,Men,48 - 52kg (flyweight),Silver,2
21249,1992,Wrestling,Wrestling Free.,"LI, Hak-Son",PRK,Men,48 - 52kg (flyweight),Gold,3
21221,1992,Weightlifting,Weightlifting,"TARANENKO, Leonid",EUN,Men,"+ 110kg, total (super heavyweight)",Silver,2
21220,1992,Weightlifting,Weightlifting,"KURLOVICH, Alexandre",EUN,Men,"+ 110kg, total (super heavyweight)",Gold,3
21219,1992,Weightlifting,Weightlifting,"NERLINGER, Manfred",GER,Men,"+ 110kg, total (super heavyweight)",Bronze,1
21218,1992,Weightlifting,Weightlifting,"LIU, Shoubin",CHN,Men,"- 56kg, total (bantamweight)",Silver,2
21217,1992,Weightlifting,Weightlifting,"CHUN, Byung-Kwan",KOR,Men,"- 56kg, total (bantamweight)",Gold,3
21216,1992,Weightlifting,Weightlifting,"LUO, Jianming",CHN,Men,"- 56kg, total (bantamweight)",Bronze,1
21215,1992,Weightlifting,Weightlifting,"LIN, Qisheng",CHN,Men,"- 52kg, total (flyweight)",Silver,2
21214,1992,Weightlifting,Weightlifting,"IVANOV, Ivan Ivanov",BUL,Men,"- 52kg, total (flyweight)",Gold,3
